objectid,acres,wqclass_id,description,class,standard,createdby,agency,publishdate,featureuid,createdate,modifieddate,modifiedby,deliverydate,sourceid,severity,comments,st_areashape,st_perimetershape
68,1501.472,64,Hilo Bay (inside breakwater),A,1, , ,1899/12/30 00:00:00+00,{652963B1-DBD3-4470-B279-CCBCFB65F298},,,,2016/09/13 00:00:00+00,,,,6076245.12457337,13267.3066989294
69,15.542,66,Honkohau Boat Harbor,A,1, , ,1899/12/30 00:00:00+00,{C809CD96-D108-4450-A4F5-92ACEBC8236E},,,,2016/09/13 00:00:00+00,,,,62898.5898200384,1739.17394872004
70,55.042,59,Old Kona Airport MLCD No boating zone,AA,2, , ,1899/12/30 00:00:00+00,{680AAF4C-2A17-4BDB-B389-0D0EFEB3E6D6},,,,2016/09/13 00:00:00+00,,,,222750.167225479,2938.25133944969
71,166.738,58,Old Kona Airport MLCD,AA,2, , ,1899/12/30 00:00:00+00,{60D09789-A6F1-46E0-882E-411ADD3DC860},,,,2016/09/13 00:00:00+00,,,,674770.130662043,5028.06636120998
72,109.058,53,Kailua Harbor,AA,1, , ,1899/12/30 00:00:00+00,{0DFDB1D4-ECE5-48C4-BC0E-FF7256AAAB75},,,,2016/09/13 00:00:00+00,,,,441345.685547352,4084.26443616816
73,35.137,67,Keauhou Bay,A,1, , ,1899/12/30 00:00:00+00,{8254614B-B9E9-4ECF-A3A7-ECDBD1B343C3},,,,2016/09/13 00:00:00+00,,,,142193.536286229,2123.95087107376
74,682.28,54,Kealakekua Bay,AA,1, , ,1899/12/30 00:00:00+00,{0F8CB15F-F5E8-4DA4-BDE1-25A53857B01C},,,,2016/09/13 00:00:00+00,,,,2761097.32423973,9902.31352369729
75,132.109,62,Kealakekua Bay MLCD Part A,AA,1, , ,1899/12/30 00:00:00+00,{6285F0F8-4DFC-4250-B97E-C36F8F53B10B},,,,2016/09/13 00:00:00+00,,,,534626.412265645,4165.62043942613
76,173.731,63,Kealakekua Bay MLCD Part B,AA,1, , ,1899/12/30 00:00:00+00,{F5E90D8D-95C4-4212-8C0E-0D1D956CC117},,,,2016/09/13 00:00:00+00,,,,703067.23350782,4510.4227897072
77,64.342,55,Honaunau Bay,AA,1, , ,1899/12/30 00:00:00+00,{8435634A-B604-4D9B-BAC4-A8AB033E6D2E},,,,2016/09/13 00:00:00+00,,,,260383.667427187,3326.82341903727
78,160007.654,77,Open coastal waters between Puu Olai and Nakalele Point,A,2, , ,1899/12/30 00:00:00+00,{A731F906-C850-42ED-96D0-B669FF8A43DB},,,,2016/09/13 00:00:00+00,,,,647554818.755723,190107.741550414
79,80348.621,42,Open coastal waters between Huelo Point and Puu Olai,AA,2, , ,1899/12/30 00:00:00+00,{263CB8BC-E567-4E79-BEBC-31EFAEDC5DE1},,,,2016/09/13 00:00:00+00,,,,325167428.561996,269587.706602887
80,7774.052,0,,AA,0, , ,1899/12/30 00:00:00+00,{877D2C39-09B1-4911-B4E0-CB6F0070E8C4},,,,2016/09/13 00:00:00+00,,,,31461891.609366,46378.0557480359
81,67.69,0,,AA,0, , ,1899/12/30 00:00:00+00,{BD9D3C91-FFAB-4703-83FB-56460C2DAEA8},,,,2016/09/13 00:00:00+00,,,,273945.783492685,2814.29563253004
82,67110.767,77,Open coastal waters surrounding Kahoolawe,AA,2, , ,1899/12/30 00:00:00+00,{FCA0AD87-FBF7-404A-BBAD-F635B51D202E},,,,2016/09/13 00:00:00+00,,,,271599433.194974,226569.91114411
83,92021.173,0,Niihau,AA,0, , ,1899/12/30 00:00:00+00,{B63299F7-8350-4C3A-8804-30058FBB15EB},,,,2016/09/13 00:00:00+00,,,,372396793.833885,191213.308562228
